megye,lat,lon
Bács-Kiskun,46.56863808600008,19.382235383000022
Baranya,46.03598157500005,18.208910951000064
Békés,46.773510000000044,21.133650000000046
Borsod-Abaúj-Zemplén,48.19855042000006,20.971620637000058
Csongrád,46.42675066600003,20.235190921000026
Fejér,47.12925467400004,18.53611866800003
Győr-Moson-Sopron,47.64134853400003,17.279517402000067
Hajdú-Bihar,47.470270810000045,21.457257299000048
Heves,47.78611768700006,20.193716405000032
Jász-Nagykun-Szolnok,47.26230237600004,20.42020379300004
Komárom-Esztergom,47.606409349000046,18.311089844000037
Nógrád,47.986132843000064,19.52311594500003
Pest,47.411031525000055,19.360521404000053
Somogy,46.43038860000007,17.60466680600007
Szabolcs-Szatmár-Bereg,47.992563818000065,22.08080337100006
Tolna,46.507459690000076,18.535653049000075
Vas,47.15006286500005,16.74975015600006
Veszprém,47.092520000000036,17.907750000000078
Zala,46.695846, 16.849350
Budapest,47.49972000000008,19.055080000000032
